DateTime,RealPower,ReactivePower,ApprentPower
2020-03-12 00:10:00,0.0,0.0,0.0
2020-03-12 00:15:00,0.0,0.0,0.0
2020-03-12 00:20:00,0.0,0.0,0.0
2020-03-12 00:25:00,0.0,0.0,0.0
2020-03-12 00:30:00,0.0,0.0,0.0
2020-03-12 00:35:00,0.0,0.0,0.0
2020-03-12 00:40:00,0.0,0.0,0.0
2020-03-12 00:45:00,0.0,0.0,0.0
2020-03-12 00:50:00,0.0,0.0,0.0
2020-03-12 00:55:00,0.0,0.0,0.0
2020-03-12 01:00:00,0.0,0.0,0.0
2020-03-12 01:05:00,0.0,0.0,0.0
2020-03-12 01:10:00,0.0,0.0,0.0
2020-03-12 01:15:00,0.0,0.0,0.0
2020-03-12 01:20:00,0.0,0.0,0.0
2020-03-12 01:25:00,0.0,0.0,0.0
2020-03-12 01:30:00,0.0,0.0,0.0
2020-03-12 01:35:00,0.0,0.0,0.0
2020-03-12 01:40:00,0.0,0.0,0.0
2020-03-12 01:45:00,0.0,0.0,0.0
2020-03-12 01:50:00,0.0,0.0,0.0
2020-03-12 01:55:00,0.0,0.0,0.0
2020-03-12 02:00:00,0.0,0.0,0.0
2020-03-12 02:05:00,0.0,0.0,0.0
2020-03-12 02:10:00,0.0,0.0,0.0
2020-03-12 02:15:00,0.0,0.0,0.0
2020-03-12 02:20:00,0.0,0.0,0.0
2020-03-12 02:25:00,0.0,0.0,0.0
2020-03-12 02:30:00,0.0,0.0,0.0
2020-03-12 02:35:00,0.0,0.0,0.0
2020-03-12 02:40:00,0.0,0.0,0.0
2020-03-12 02:45:00,0.0,0.0,0.0
2020-03-12 02:50:00,0.0,0.0,0.0
2020-03-12 02:55:00,0.0,0.0,0.0
2020-03-12 03:00:00,0.0,0.0,0.0
2020-03-12 03:05:00,0.0,0.0,0.0
2020-03-12 03:10:00,0.0,0.0,0.0
2020-03-12 03:15:00,0.0,0.0,0.0
2020-03-12 03:20:00,0.0,0.0,0.0
2020-03-12 03:25:00,0.0,0.0,0.0
2020-03-12 03:30:00,0.0,0.0,0.0
2020-03-12 03:35:00,0.0,0.0,0.0
2020-03-12 03:40:00,0.0,0.0,0.0
2020-03-12 03:45:00,0.0,0.0,0.0
2020-03-12 03:50:00,0.0,0.0,0.0
2020-03-12 03:55:00,0.0,0.0,0.0
2020-03-12 04:00:00,0.0,0.0,0.0
2020-03-12 04:05:00,0.0,0.0,0.0
