DateTime,RealPower,ReactivePower,ApprentPower
2020-03-07 00:10:00,0.0,0.0,0.0
2020-03-07 00:15:00,0.0,0.0,0.0
2020-03-07 00:20:00,0.0,0.0,0.0
2020-03-07 00:25:00,0.0,0.0,0.0
2020-03-07 00:30:00,0.0,0.0,0.0
2020-03-07 00:35:00,0.0,0.0,0.0
2020-03-07 00:40:00,0.0,0.0,0.0
2020-03-07 00:45:00,0.0,0.0,0.0
2020-03-07 00:50:00,0.0,0.0,0.0
2020-03-07 00:55:00,0.0,0.0,0.0
2020-03-07 01:00:00,0.0,0.0,0.0
2020-03-07 01:05:00,0.0,0.0,0.0
2020-03-07 01:10:00,0.0,0.0,0.0
2020-03-07 01:15:00,0.0,0.0,0.0
2020-03-07 01:20:00,0.0,0.0,0.0
2020-03-07 01:25:00,0.0,0.0,0.0
2020-03-07 01:30:00,0.0,0.0,0.0
2020-03-07 01:35:00,0.0,0.0,0.0
2020-03-07 01:40:00,0.0,0.0,0.0
2020-03-07 01:45:00,0.0,0.0,0.0
2020-03-07 01:50:00,0.0,0.0,0.0
2020-03-07 01:55:00,0.0,0.0,0.0
2020-03-07 02:00:00,0.0,0.0,0.0
2020-03-07 02:05:00,0.0,0.0,0.0
2020-03-07 02:10:00,0.0,0.0,0.0
2020-03-07 02:15:00,0.0,0.0,0.0
2020-03-07 02:20:00,0.0,0.0,0.0
2020-03-07 02:25:00,0.0,0.0,0.0
2020-03-07 02:30:00,0.0,0.0,0.0
2020-03-07 02:35:00,0.0,0.0,0.0
2020-03-07 02:40:00,0.0,0.0,0.0
2020-03-07 02:45:00,0.0,0.0,0.0
2020-03-07 02:50:00,0.0,0.0,0.0
2020-03-07 02:55:00,0.0,0.0,0.0
2020-03-07 03:00:00,0.0,0.0,0.0
2020-03-07 03:05:00,0.0,0.0,0.0
2020-03-07 03:10:00,0.0,0.0,0.0
2020-03-07 03:15:00,0.0,0.0,0.0
2020-03-07 03:20:00,0.0,0.0,0.0
2020-03-07 03:25:00,0.0,0.0,0.0
2020-03-07 03:30:00,0.0,0.0,0.0
