DateTime,RealPower,ReactivePower,ApprentPower
2020-03-10 00:10:00,0.0,0.0,0.0
2020-03-10 00:15:00,0.0,0.0,0.0
2020-03-10 00:20:00,0.0,0.0,0.0
2020-03-10 00:25:00,0.0,0.0,0.0
2020-03-10 00:30:00,0.0,0.0,0.0
2020-03-10 00:35:00,0.0,0.0,0.0
2020-03-10 00:40:00,0.0,0.0,0.0
2020-03-10 00:45:00,0.0,0.0,0.0
2020-03-10 00:50:00,0.0,0.0,0.0
2020-03-10 00:55:00,0.0,0.0,0.0
2020-03-10 01:00:00,0.0,0.0,0.0
2020-03-10 01:05:00,0.0,0.0,0.0
2020-03-10 01:10:00,0.0,0.0,0.0
2020-03-10 01:15:00,0.0,0.0,0.0
2020-03-10 01:20:00,0.0,0.0,0.0
2020-03-10 01:25:00,0.0,0.0,0.0
2020-03-10 01:30:00,0.0,0.0,0.0
2020-03-10 01:35:00,0.0,0.0,0.0
2020-03-10 01:40:00,0.0,0.0,0.0
2020-03-10 01:45:00,0.0,0.0,0.0
2020-03-10 01:50:00,0.0,0.0,0.0
2020-03-10 01:55:00,0.0,0.0,0.0
2020-03-10 02:00:00,0.0,0.0,0.0
2020-03-10 02:05:00,0.0,0.0,0.0
2020-03-10 02:10:00,0.0,0.0,0.0
2020-03-10 02:15:00,0.0,0.0,0.0
2020-03-10 02:20:00,0.0,0.0,0.0
2020-03-10 02:25:00,0.0,0.0,0.0
2020-03-10 02:30:00,0.0,0.0,0.0
2020-03-10 02:35:00,0.0,0.0,0.0
2020-03-10 02:40:00,0.0,0.0,0.0
2020-03-10 02:45:00,0.0,0.0,0.0
2020-03-10 02:50:00,0.0,0.0,0.0
2020-03-10 02:55:00,0.0,0.0,0.0
2020-03-10 03:00:00,0.0,0.0,0.0
2020-03-10 03:05:00,0.0,0.0,0.0
2020-03-10 03:10:00,0.0,0.0,0.0
2020-03-10 03:15:00,0.0,0.0,0.0
2020-03-10 03:20:00,0.0,0.0,0.0
2020-03-10 03:25:00,0.0,0.0,0.0
2020-03-10 03:30:00,0.0,0.0,0.0
2020-03-10 03:35:00,0.0,0.0,0.0
2020-03-10 03:40:00,0.0,0.0,0.0
2020-03-10 03:45:00,0.0,0.0,0.0
2020-03-10 03:50:00,0.0,0.0,0.0
2020-03-10 03:55:00,0.0,0.0,0.0
