DateTime,RealPower,ReactivePower,ApprentPower
2020-05-29 00:10:00,0.0,0.0,0.0
2020-05-29 00:15:00,0.0,0.0,0.0
2020-05-29 00:20:00,0.0,0.0,0.0
2020-05-29 00:25:00,0.0,0.0,0.0
2020-05-29 00:30:00,0.0,0.0,0.0
2020-05-29 00:35:00,0.0,0.0,0.0
2020-05-29 00:40:00,0.0,0.0,0.0
2020-05-29 00:45:00,0.0,0.0,0.0
2020-05-29 00:50:00,0.0,0.0,0.0
2020-05-29 00:55:00,0.0,0.0,0.0
2020-05-29 01:00:00,0.0,0.0,0.0
2020-05-29 01:05:00,0.0,0.0,0.0
2020-05-29 01:10:00,0.0,0.0,0.0
2020-05-29 01:15:00,0.0,0.0,0.0
2020-05-29 01:20:00,0.0,0.0,0.0
2020-05-29 01:25:00,0.0,0.0,0.0
2020-05-29 01:30:00,0.0,0.0,0.0
2020-05-29 01:35:00,0.0,0.0,0.0
2020-05-29 01:40:00,0.0,0.0,0.0
2020-05-29 01:45:00,0.0,0.0,0.0
2020-05-29 01:50:00,0.0,0.0,0.0
2020-05-29 01:55:00,0.0,0.0,0.0
2020-05-29 02:00:00,0.0,0.0,0.0
2020-05-29 02:05:00,0.0,0.0,0.0
2020-05-29 02:10:00,0.0,0.0,0.0
2020-05-29 02:15:00,0.0,0.0,0.0
2020-05-29 02:20:00,0.0,0.0,0.0
2020-05-29 02:25:00,0.0,0.0,0.0
2020-05-29 02:30:00,0.0,0.0,0.0
2020-05-29 02:35:00,0.0,0.0,0.0
2020-05-29 02:40:00,0.0,0.0,0.0
2020-05-29 02:45:00,0.0,0.0,0.0
2020-05-29 02:50:00,0.0,0.0,0.0
2020-05-29 02:55:00,0.0,0.0,0.0
2020-05-29 03:00:00,0.0,0.0,0.0
2020-05-29 03:05:00,0.0,0.0,0.0
2020-05-29 03:10:00,0.0,0.0,0.0
2020-05-29 03:15:00,0.0,0.0,0.0
2020-05-29 03:20:00,0.0,0.0,0.0
2020-05-29 03:25:00,0.0,0.0,0.0
2020-05-29 03:30:00,0.0,0.0,0.0
2020-05-29 03:35:00,0.0,0.0,0.0
2020-05-29 03:40:00,0.0,0.0,0.0
2020-05-29 03:45:00,0.0,0.0,0.0
2020-05-29 03:50:00,0.0,0.0,0.0
2020-05-29 03:55:00,0.0,0.0,0.0
2020-05-29 04:00:00,0.0,0.0,0.0
2020-05-29 04:05:00,0.0,0.0,0.0
2020-05-29 04:10:00,0.0,0.0,0.0
2020-05-29 04:15:00,0.0,0.0,0.0
2020-05-29 04:20:00,0.0,0.0,0.0
2020-05-29 04:25:00,0.0,0.0,0.0
2020-05-29 04:30:00,0.0,0.0,0.0
2020-05-29 04:35:00,0.0,0.0,0.0
2020-05-29 04:40:00,0.0,0.0,0.0
2020-05-29 04:45:00,0.0,0.0,0.0
2020-05-29 04:50:00,0.0,0.0,0.0
2020-05-29 04:55:00,0.0,0.0,0.0
2020-05-29 05:00:00,-0.106,0.35200000000000004,0.377
2020-05-29 05:05:00,-0.106,0.35750000000000004,0.382
2020-05-29 05:10:00,-0.106,0.363,0.387
